Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction
Spain - Las Americas,15,06h,6,9,1.4,12,20,NNO (342.1680834139165°),NO (320°)
Spain - Las Americas,15,08h,7,9,1.4,12,20,NNO (331.4543802794554°),NO (323°)
Spain - Las Americas,15,10h,9,10,1.5,12,20,NO (321.76302547115324°),NO (325°)
Spain - Las Americas,15,12h,13,12,1.5,12,21,NO (312.6241878379641°),NNO (327°)
Spain - Las Americas,15,14h,12,13,1.6,12,21,NO (307.2820323519712°),NNO (329°)
Spain - Las Americas,15,16h,13,14,1.5,12,21,NO (307.2698698811472°),NNO (331°)
Spain - Las Americas,15,18h,14,16,1.6,12,21,NO (313.4165669874097°),NNO (333°)
Spain - Las Americas,15,20h,5,7,1.6,12,20,NNO (339.6587864491146°),NNO (339°)
Spain - Las Americas,15,22h,8,9,1.5,12,20,E (79.11222510631237°),NNO (340°)
Spain - Las Americas,16,03h,5,5,1.5,12,19,N (351.1468105068029°),NNO (340°)
Spain - Las Americas,16,05h,4,6,1.6,12,19,NNO (332.8839599720121°),NNO (341°)
Spain - Las Americas,16,07h,5,7,1.7,12,19,N (9.048886965253361°),NNO (343°)
Spain - Las Americas,16,09h,5,5,1.7,13,19,E (79.17910937624706°),NNO (346°)
Spain - Las Americas,16,11h,8,9,1.7,14,20,ESE (110.24094582586093°),NNO (346°)
Spain - Las Americas,16,13h,8,8,1.7,13,20,SE (134.7737037369171°),NNO (346°)
Spain - Las Americas,16,15h,5,5,1.6,13,20,S (170.34407491094512°),NNO (346°)
Spain - Las Americas,16,17h,4,4,1.6,13,20,SO (233.83797638848733°),NNO (345°)
Spain - Las Americas,16,19h,4,4,1.5,13,20,E (84.83681145119583°),NNO (345°)
Spain - Las Americas,16,21h,8,8,1.4,13,19,E (95.01388214335545°),NNO (345°)
Spain - Las Americas,17,03h,6,7,1.2,13,18,ESE (120.4437126278156°),N (349°)
Spain - Las Americas,17,05h,5,7,1.1,13,18,ESE (119.97655397434883°),N (351°)
Spain - Las Americas,17,07h,5,7,1.1,13,18,ESE (111.96297170141179°),N (353°)
Spain - Las Americas,17,09h,5,8,1,13,18,ESE (104.4230245199913°),N (354°)
Spain - Las Americas,17,11h,8,10,1,13,19,ESE (120.33840046967697°),N (355°)
Spain - Las Americas,17,13h,9,10,1,13,20,SE (136.97802680443516°),N (356°)
Spain - Las Americas,17,15h,7,8,0.9,13,20,SSE (147.45082508231462°),N (356°)
Spain - Las Americas,17,17h,7,8,0.9,13,20,SE (140.39033646848125°),N (357°)
Spain - Las Americas,17,19h,5,7,0.8,13,19,SE (128.1406747855141°),N (356°)
Spain - Las Americas,17,21h,6,8,0.8,13,19,ESE (114.38380982852658°),N (354°)
Spain - Las Americas,18,03h,8,11,0.7,12,19,ESE (103.28370708200816°),N (356°)
Spain - Las Americas,18,05h,9,12,0.7,12,19,ESE (108.63330269941854°),N (353°)
Spain - Las Americas,18,09h,5,8,0.7,12,19,E (98.54954444583403°),NNO (342°)
Spain - Las Americas,18,12h,8,10,0.6,12,21,SE (136.46175156562188°),NNO (327°)
Spain - Las Americas,18,15h,7,10,0.6,12,20,SE (143.7251573932691°),NO (310°)
Spain - Las Americas,18,18h,4,7,0.7,18,20,SE (141.7800780241416°),ONO (299°)
Spain - Las Americas,18,21h,3,6,0.8,17,19,ESE (102.41802294319633°),ONO (293°)
Spain - Las Americas,19,03h,2,3,1,16,18,NE (54.927600444924266°),ONO (293°)
Spain - Las Americas,19,06h,2,3,1,16,18,E (88.47112838342343°),ONO (292°)
Spain - Las Americas,19,09h,1,2,1,15,19,ESE (109.35547245804463°),ONO (292°)
Spain - Las Americas,19,12h,4,5,1.1,15,21,SSO (202.97444425628944°),ONO (292°)
Spain - Las Americas,19,15h,6,8,1.1,15,21,SO (215.19233317401444°),ONO (293°)
Spain - Las Americas,19,18h,5,7,1,15,20,O (265.04902350340126°),ONO (294°)
Spain - Las Americas,19,21h,3,7,1,14,19,ONO (295.2815066800174°),ONO (295°)
Spain - Las Americas,20,03h,4,5,1,14,19,NO (315.06564030389694°),ONO (294°)
Spain - Las Americas,20,06h,2,3,1,14,19,N (357.03272831309624°),ONO (294°)
Spain - Las Americas,20,09h,2,3,0.9,13,20,ENE (62.62588250244894°),ONO (295°)
Spain - Las Americas,20,12h,3,4,0.9,13,21,S (171.5800562144655°),ONO (294°)
Spain - Las Americas,20,15h,4,4,0.9,13,21,SSO (207.70977146270155°),ONO (295°)
Spain - Las Americas,20,18h,1,3,0.8,12,20,S (177.22843022997515°),ONO (296°)
Spain - Las Americas,20,21h,2,4,0.8,12,20,E (85.84852218224648°),ONO (291°)
Spain - Las Americas,21,03h,3,5,0.8,12,19,N (348.9271195854769°),ONO (297°)
Spain - Las Americas,21,06h,2,3,0.8,13,19,N (10.403596392061159°),NNO (334°)
Spain - Las Americas,21,09h,2,5,0.9,12,19,NNE (25.29249431378946°),NNO (330°)
Spain - Las Americas,21,12h,4,6,1,18,21,SE (134.5957816015629°),NNO (348°)
Spain - Las Americas,21,15h,3,5,1,18,22,SSE (147.87991688571606°),NNO (348°)
Spain - Las Americas,21,18h,1,3,1.1,17,21,SO (216.59228734569135°),NNO (348°)
Spain - Las Americas,21,21h,3,4,1.2,16,20,E (92.47525826720478°),NNO (347°)
Spain - Las Americas,22,03h,3,4,1.3,15,19,NNE (21.019200113653795°),NNO (347°)
Spain - Las Americas,22,06h,3,3,1.3,14,19,NNE (17.628917531507657°),NNO (348°)
Spain - Las Americas,22,09h,3,3,1.2,14,19,NNE (27.44733052730848°),N (349°)
Spain - Las Americas,22,12h,4,6,1.2,14,22,SSE (163.301842071844°),N (350°)
Spain - Las Americas,22,15h,6,9,1.2,14,21,SSE (152.22292663456741°),NNO (348°)
Spain - Las Americas,22,18h,5,8,1.2,20,20,SE (138.64239792004133°),N (354°)
Spain - Las Americas,22,21h,4,3,1.2,19,20,N (357.4267350610903°),N (354°)
Spain - Las Americas,23,03h,4,4,1.2,18,20,NNE (25.97230535477964°),N (354°)
Spain - Las Americas,23,06h,2,3,1.2,17,20,NNE (26.4440911473937°),N (355°)
Spain - Las Americas,23,09h,3,3,1.2,17,20,NE (49.45155138014158°),N (354°)
Spain - Las Americas,23,12h,4,6,1.2,16,22,SE (143.57684245554714°),N (355°)
Spain - Las Americas,23,15h,5,6,1.1,16,21,SSE (159.86043432791797°),N (355°)
Spain - Las Americas,23,18h,1,3,1.1,16,20,SE (131.69237901998832°),N (354°)
Spain - Las Americas,23,21h,3,5,1,16,20,NE (39.69014871386632°),N (354°)
Spain - Las Americas,24,03h,4,5,1,15,20,NNO (339.9094620741293°),N (353°)
Spain - Las Americas,24,06h,3,5,1,15,19,NO (321.90685805966905°),N (352°)
Spain - Las Americas,24,09h,4,6,1,15,19,ONO (297.8639900568286°),NNO (348°)
Spain - Las Americas,24,12h,7,8,1,15,21,OSO (245.448299358794°),NNO (344°)
Spain - Las Americas,24,15h,10,14,1.1,14,21,O (275.3585622581449°),NNO (339°)
Spain - Las Americas,24,18h,9,15,1.1,14,20,NNO (332.8695684593931°),NNO (336°)
Spain - Las Americas,24,21h,9,17,1.1,14,20,NNE (19.276027261785387°),NNO (331°)
Spain - La Tejita,15,06h,7,6,0.7,10,20,SE (126.77133404703523°),O (279°)
Spain - La Tejita,15,08h,4,5,0.7,10,20,SE (125.96559333682178°),O (281°)
Spain - La Tejita,15,10h,5,6,0.7,10,21,SE (139.728960757519°),ONO (282°)
Spain - La Tejita,15,12h,5,6,0.6,10,21,SSE (153.74344309251737°),ONO (285°)
Spain - La Tejita,15,14h,6,7,0.6,10,21,SE (135.8142611591074°),ONO (286°)
Spain - La Tejita,15,16h,6,5,0.6,10,21,SE (142.972453207119°),ONO (285°)
Spain - La Tejita,15,18h,4,4,0.6,10,20,SE (131.8172604041278°),ONO (287°)
Spain - La Tejita,15,20h,5,6,0.6,10,20,ENE (60.601378417974246°),ONO (288°)
Spain - La Tejita,15,22h,8,8,0.6,10,20,ESE (118.97749113050783°),ONO (287°)
Spain - La Tejita,16,03h,5,5,0.5,10,19,O (265.2162624711601°),ONO (290°)
Spain - La Tejita,16,05h,5,6,0.5,10,18,O (268.41920363853774°),ONO (289°)
Spain - La Tejita,16,07h,3,5,0.5,10,18,O (264.56998168456°),ONO (288°)
Spain - La Tejita,16,09h,4,6,0.5,10,19,ESE (104.06417002043696°),ONO (293°)
Spain - La Tejita,16,11h,6,8,0.5,10,19,ESE (116.70378872564943°),ONO (294°)
Spain - La Tejita,16,13h,5,5,0.5,10,20,ESE (106.2184724648231°),ONO (296°)
Spain - La Tejita,16,15h,4,4,0.4,10,20,ESE (109.2590164369975°),ONO (296°)
Spain - La Tejita,16,17h,5,5,0.4,11,20,E (84.6200981797391°),NO (306°)
Spain - La Tejita,16,19h,8,8,0.4,10,20,ENE (70.02804572377104°),NO (305°)
Spain - La Tejita,16,21h,9,12,0.4,10,19,NE (53.582901814479925°),NO (304°)
Spain - La Tejita,17,03h,8,11,0.6,13,18,ENE (59.90020979170969°),SO (230°)
Spain - La Tejita,17,05h,8,11,0.6,13,17,ENE (59.21248286886801°),SO (228°)
Spain - La Tejita,17,07h,8,12,0.6,13,17,ENE (57.480306806395625°),SO (225°)
Spain - La Tejita,17,09h,9,13,0.6,13,18,ENE (60.51831753511694°),SO (225°)
Spain - La Tejita,17,11h,10,13,0.5,13,20,ENE (73.03184513781754°),SO (228°)
Spain - La Tejita,17,13h,10,11,0.5,13,20,E (84.94461554072512°),SO (227°)
Spain - La Tejita,17,15h,7,8,0.4,13,20,E (97.3624915388366°),SSO (213°)
Spain - La Tejita,17,17h,8,9,0.4,13,20,E (86.54456412410546°),SO (218°)
Spain - La Tejita,17,19h,7,9,0.4,13,19,ENE (74.41253452277843°),SO (221°)
Spain - La Tejita,17,21h,8,10,0.4,13,19,ENE (64.3469420733357°),SO (222°)
Spain - La Tejita,18,03h,8,10,0.4,13,18,ENE (59.64031756421171°),ONO (302°)
Spain - La Tejita,18,05h,7,9,0.4,12,18,ENE (68.0228007150395°),N (0°)
Spain - La Tejita,18,09h,4,6,0.4,12,19,ENE (75.20015342462402°),SO (231°)
Spain - La Tejita,18,12h,6,8,0.4,12,20,SE (145.89594521538896°),SO (228°)
Spain - La Tejita,18,15h,8,8,0.5,12,20,SSE (161.97359905344763°),SO (226°)
Spain - La Tejita,18,18h,5,6,0.4,14,20,SSE (164.380280757615°),SO (236°)
Spain - La Tejita,18,21h,3,5,0.5,18,19,SE (133.97222424602845°),ONO (288°)
Spain - La Tejita,19,03h,2,3,0.6,16,19,S (187.70775727363116°),ONO (288°)
Spain - La Tejita,19,06h,3,5,0.6,16,19,SO (229.8965175283189°),ONO (288°)
Spain - La Tejita,19,09h,4,5,0.6,15,20,OSO (237.6750046821317°),ONO (288°)
Spain - La Tejita,19,12h,7,7,0.6,15,21,SO (216.11252727095842°),ONO (288°)
Spain - La Tejita,19,15h,10,11,0.6,15,22,SO (226.91134342344463°),ONO (288°)
Spain - La Tejita,19,18h,11,14,0.6,14,21,SO (235.03618382041338°),ONO (288°)
Spain - La Tejita,19,21h,8,11,0.7,14,20,OSO (250.57410564357033°),ONO (289°)
Spain - La Tejita,20,03h,5,7,0.6,13,20,O (280.4463355735275°),ONO (288°)
Spain - La Tejita,20,06h,4,5,0.6,13,20,NNE (17.156420018800024°),ONO (289°)
Spain - La Tejita,20,09h,6,8,0.5,13,20,NE (40.03431388832842°),ONO (284°)
Spain - La Tejita,20,12h,7,8,0.5,13,21,E (81.25916997193545°),O (269°)
Spain - La Tejita,20,15h,5,7,0.5,12,21,E (94.15835980116236°),O (270°)
Spain - La Tejita,20,18h,7,9,0.5,12,20,ENE (62.29480644038301°),O (271°)
Spain - La Tejita,20,21h,10,13,0.5,12,20,NE (52.97375629524655°),O (272°)
Spain - La Tejita,21,03h,11,16,0.7,6,19,NE (36.30714736232641°),NNE (24°)
Spain - La Tejita,21,06h,11,16,0.7,6,19,NE (37.294258396576424°),NNE (23°)
Spain - La Tejita,21,09h,12,15,0.7,6,20,NE (42.44006095235175°),NNE (24°)
Spain - La Tejita,21,12h,13,15,0.7,6,21,ENE (65.14116761552117°),NNE (30°)
Spain - La Tejita,21,15h,12,14,0.6,13,21,ENE (64.84854098096577°),SO (230°)
Spain - La Tejita,21,18h,12,14,0.6,6,20,NE (55.9678285146674°),NNE (30°)
Spain - La Tejita,21,21h,11,15,0.7,6,20,NE (43.36573123766329°),NNE (28°)
Spain - La Tejita,22,03h,9,12,0.6,13,19,NNE (25.440303697524026°),SO (234°)
Spain - La Tejita,22,06h,8,11,0.5,13,19,NNE (23.869796839380008°),SSO (212°)
Spain - La Tejita,22,09h,5,8,0.5,13,20,NNE (32.19302467593312°),SO (217°)
Spain - La Tejita,22,12h,4,5,0.5,13,22,ESE (103.61452609516427°),SO (224°)
Spain - La Tejita,22,15h,6,7,0.5,12,22,SSE (148.54087947864727°),SO (228°)
Spain - La Tejita,22,18h,3,6,0.6,12,20,E (93.77822538203598°),SO (223°)
Spain - La Tejita,22,21h,6,8,0.6,12,20,NNE (20.753959839674838°),SO (216°)
Spain - La Tejita,23,03h,9,12,0.6,12,19,NNE (28.15618400841481°),SO (223°)
Spain - La Tejita,23,06h,9,12,0.6,12,19,NNE (25.199055531786392°),SO (225°)
Spain - La Tejita,23,09h,7,11,0.5,12,20,NNE (20.80104539222938°),SO (229°)
Spain - La Tejita,23,12h,6,9,0.5,12,22,E (82.5615218399964°),SO (228°)
Spain - La Tejita,23,15h,5,7,0.5,12,22,ESE (107.19966737457788°),SO (225°)
Spain - La Tejita,23,18h,3,5,0.5,11,20,ENE (75.46305100898229°),SO (225°)
Spain - La Tejita,23,21h,6,7,0.5,11,19,NE (37.089379134355056°),SO (226°)
Spain - La Tejita,24,03h,8,13,0.8,5,19,NNE (26.4513594145489°),NE (44°)
Spain - La Tejita,24,06h,10,15,0.9,5,18,NNE (27.095456607991807°),NE (42°)
Spain - La Tejita,24,09h,11,17,1,6,19,NNE (22.223872005628188°),NE (45°)
Spain - La Tejita,24,12h,17,23,1.2,5,21,NE (41.751239617891045°),NE (53°)
Spain - La Tejita,24,15h,18,24,1.4,5,21,NE (39.30906368494164°),ENE (58°)
Spain - La Tejita,24,18h,17,23,1.6,5,19,NNE (30.944589819469247°),NE (56°)
Spain - La Tejita,24,21h,16,22,1.5,5,18,NNE (30.416358919555734°),NE (54°)
Spain - Los Enanos,15,06h,7,13,1.7,12,17,NO (309.11794780689075°),NNO (328°)
Spain - Los Enanos,15,08h,8,11,1.8,12,17,NO (309.53736407417006°),NNO (327°)
Spain - Los Enanos,15,10h,10,12,1.8,12,19,NO (318.1694067066406°),NNO (327°)
Spain - Los Enanos,15,12h,10,12,1.8,12,20,NO (324.2279875610344°),NNO (327°)
Spain - Los Enanos,15,14h,10,12,1.9,12,20,NNO (328.10369004338173°),NNO (327°)
Spain - Los Enanos,15,16h,9,11,1.9,12,19,NNO (330.3098811417227°),NNO (328°)
Spain - Los Enanos,15,18h,10,13,1.9,12,19,NNO (328.02517317647863°),NNO (329°)
Spain - Los Enanos,15,20h,10,15,2,12,18,NNO (327.2667668034005°),NNO (330°)
Spain - Los Enanos,15,22h,8,12,2,12,18,NO (322.9369612495015°),NNO (336°)
Spain - Los Enanos,16,03h,8,12,2.1,12,17,NO (321.9864209586555°),NNO (341°)
Spain - Los Enanos,16,05h,8,12,2.2,12,17,NO (321.38438338508223°),NNO (342°)
Spain - Los Enanos,16,07h,9,12,2.3,13,17,NO (321.19521099015975°),NNO (343°)
Spain - Los Enanos,16,09h,9,12,2.3,13,18,NO (324.24504295175467°),NNO (343°)
Spain - Los Enanos,16,11h,8,10,2.3,13,19,NNO (346.9428080967123°),NNO (345°)
Spain - Los Enanos,16,13h,7,8,2.3,13,19,NNO (344.14348493764294°),NNO (345°)
Spain - Los Enanos,16,15h,8,10,2.3,13,19,NNO (343.98689082708495°),NNO (344°)
Spain - Los Enanos,16,17h,7,9,2.3,13,19,N (354.252914915623°),NNO (344°)
Spain - Los Enanos,16,19h,6,8,2.2,13,18,N (358.43677581562287°),NNO (344°)
Spain - Los Enanos,16,21h,3,4,2.1,13,17,N (10.626308318544869°),NNO (344°)
Spain - Los Enanos,17,03h,3,6,2,14,15,NE (43.478646397335105°),N (359°)
Spain - Los Enanos,17,05h,4,7,2,14,15,E (84.4452790247356°),N (0°)
Spain - Los Enanos,17,07h,5,7,2,13,15,E (101.09671621556566°),N (1°)
Spain - Los Enanos,17,09h,6,8,2,13,17,ESE (109.22183874223964°),N (2°)
Spain - Los Enanos,17,11h,9,11,2,13,19,ESE (101.25935933089652°),N (2°)
Spain - Los Enanos,17,13h,10,12,2,13,20,E (99.78512916990574°),N (4°)
Spain - Los Enanos,17,15h,9,12,1.9,13,20,E (95.31496647866283°),N (5°)
Spain - Los Enanos,17,17h,8,11,1.9,13,19,E (93.99672782385093°),N (5°)
Spain - Los Enanos,17,19h,7,10,1.8,13,17,ESE (110.45472975350674°),N (6°)
Spain - Los Enanos,17,21h,6,9,1.8,13,16,ESE (121.19919486107914°),N (6°)
Spain - Los Enanos,18,03h,7,10,1.6,12,16,SE (139.41360114321827°),N (7°)
Spain - Los Enanos,18,05h,8,12,1.6,12,16,SE (137.9976736843347°),N (8°)
Spain - Los Enanos,18,09h,7,12,1.5,11,17,SE (144.07258663408103°),N (8°)
Spain - Los Enanos,18,12h,5,10,1.4,11,20,ESE (115.54039771258782°),N (8°)
Spain - Los Enanos,18,15h,4,9,1.3,11,21,E (96.66369239409941°),N (8°)
Spain - Los Enanos,18,18h,4,7,1.2,11,19,ESE (107.63748379798568°),N (9°)
Spain - Los Enanos,18,21h,4,5,1.3,11,17,SE (144.60180305638707°),N (360°)
Spain - Los Enanos,19,03h,4,7,1.5,16,16,S (173.03865180173423°),NO (305°)
Spain - Los Enanos,19,06h,5,8,1.5,15,16,S (169.35284469393758°),NO (304°)
Spain - Los Enanos,19,09h,3,8,1.5,15,18,SSO (200.4942132961867°),NO (304°)
Spain - Los Enanos,19,12h,2,8,1.4,15,22,NO (321.52534956812696°),NO (304°)
Spain - Los Enanos,19,15h,3,9,1.4,15,22,NO (325.5968636317874°),NO (305°)
Spain - Los Enanos,19,18h,6,9,1.4,15,20,NO (305.0622986872128°),NO (305°)
Spain - Los Enanos,19,21h,3,6,1.4,15,18,O (269.94184255724554°),NO (306°)
Spain - Los Enanos,20,03h,4,6,1.3,14,17,OSO (248.4336757008315°),NO (306°)
Spain - Los Enanos,20,06h,4,6,1.2,14,17,SSO (204.85497080546054°),NO (306°)
Spain - Los Enanos,20,09h,4,4,1.2,14,18,SE (129.2400220083794°),NO (306°)
Spain - Los Enanos,20,12h,5,7,1.2,13,21,E (80.15557735566394°),NO (306°)
Spain - Los Enanos,20,15h,5,9,1.2,13,20,NE (45.55266224683704°),NO (307°)
Spain - Los Enanos,20,18h,5,7,1.1,13,19,NE (50.79959129285333°),NO (307°)
Spain - Los Enanos,20,21h,5,7,1.1,12,18,NE (42.5904483127663°),NO (308°)
Spain - Los Enanos,21,03h,5,7,1,12,18,NE (53.09571891908731°),NO (308°)
Spain - Los Enanos,21,06h,6,8,1,12,18,ENE (70.67956918866008°),NO (314°)
Spain - Los Enanos,21,09h,7,9,1.1,12,18,E (93.01785672738194°),NNO (333°)
Spain - Los Enanos,21,12h,8,10,1.2,18,20,E (80.98192018913726°),N (349°)
Spain - Los Enanos,21,15h,9,11,1.4,18,20,ENE (75.37803365857413°),N (350°)
Spain - Los Enanos,21,18h,7,9,1.5,17,19,E (79.43406861049353°),N (350°)
Spain - Los Enanos,21,21h,6,7,1.6,16,18,E (90.63581040840991°),NNO (348°)
Spain - Los Enanos,22,03h,8,10,1.9,15,17,ESE (121.99094935012005°),N (350°)
Spain - Los Enanos,22,06h,9,12,1.9,15,18,SE (133.22498408251434°),N (352°)
Spain - Los Enanos,22,09h,8,13,2,15,18,SE (141.39461613828317°),N (354°)
Spain - Los Enanos,22,12h,9,14,2,14,22,ESE (113.81891264325513°),N (355°)
Spain - Los Enanos,22,15h,11,13,2,14,22,ESE (116.138053953105°),N (356°)
Spain - Los Enanos,22,18h,9,9,2.1,16,21,ESE (117.03829192765033°),N (358°)
Spain - Los Enanos,22,21h,7,8,2.1,19,20,SE (124.25535215455335°),N (358°)
Spain - Los Enanos,23,03h,8,9,2.3,18,19,ESE (106.94445901984268°),N (359°)
Spain - Los Enanos,23,06h,9,9,2.3,17,19,ESE (115°),N (359°)
Spain - Los Enanos,23,09h,9,11,2.2,17,20,ESE (121.09652477300445°),N (359°)
Spain - Los Enanos,23,12h,8,13,2.2,16,22,ESE (122.79014398629396°),N (359°)
Spain - Los Enanos,23,15h,4,9,2.1,16,22,ESE (113.40718725935325°),N (359°)
Spain - Los Enanos,23,18h,3,5,2,16,21,ESE (101.32614973429929°),N (360°)
Spain - Los Enanos,23,21h,5,6,2,16,20,ESE (115.37742894650484°),N (359°)
Spain - Los Enanos,24,03h,6,8,1.8,15,19,E (93.98010178904728°),N (359°)
Spain - Los Enanos,24,06h,7,8,1.8,15,19,E (90.94109797631336°),N (359°)
Spain - Los Enanos,24,09h,8,8,1.7,15,19,ESE (106.0775879954615°),N (359°)
Spain - Los Enanos,24,12h,8,12,1.7,15,20,ENE (64.77621248978203°),N (356°)
Spain - Los Enanos,24,15h,12,13,1.7,14,19,NNE (15.135636677945381°),N (354°)
Spain - Los Enanos,24,18h,12,15,1.8,14,19,NNE (22.593195299421566°),N (350°)
Spain - Los Enanos,24,21h,14,18,1.8,14,18,NNE (18.143828213621166°),NNO (347°)
Spain - Maspalomas,15,06h,6,5,0.9,10,21,NO (324.91510090921213°),O (278°)
Spain - Maspalomas,15,08h,4,3,0.9,10,21,NNO (332.867989427354°),O (278°)
Spain - Maspalomas,15,10h,5,7,0.9,10,21,SSO (202.0162131311223°),O (278°)
Spain - Maspalomas,15,12h,7,7,0.8,10,21,SSO (204.58528134482907°),O (278°)
Spain - Maspalomas,15,14h,7,7,0.8,10,21,S (174.7816502638087°),O (278°)
Spain - Maspalomas,15,16h,3,5,0.8,10,21,S (169.38094032048275°),O (278°)
Spain - Maspalomas,15,18h,7,5,0.8,10,20,E (81.95780850920634°),O (278°)
Spain - Maspalomas,15,20h,4,4,0.8,10,20,NE (49.9180007118819°),O (278°)
Spain - Maspalomas,15,22h,2,2,0.8,10,20,ESE (105.57034109262729°),O (279°)
Spain - Maspalomas,16,03h,5,5,0.7,10,20,NO (323.03955618528107°),O (281°)
Spain - Maspalomas,16,05h,3,2,0.7,10,19,NE (43.855319568360756°),O (281°)
Spain - Maspalomas,16,07h,3,3,0.7,10,19,NE (52.22089127553084°),ONO (282°)
Spain - Maspalomas,16,09h,2,2,0.7,10,20,NE (41.11555553427889°),ONO (282°)
Spain - Maspalomas,16,11h,4,4,0.7,10,20,SSE (154.69894922929976°),ONO (283°)
Spain - Maspalomas,16,13h,5,5,0.6,10,20,S (183.25892454385937°),ONO (284°)
Spain - Maspalomas,16,15h,7,5,0.6,10,20,E (90.09648838626056°),ONO (291°)
Spain - Maspalomas,16,17h,10,9,0.6,10,20,E (81.93587782663515°),ONO (298°)
Spain - Maspalomas,16,19h,8,8,0.7,10,20,ENE (64.31842919448685°),ONO (298°)
Spain - Maspalomas,16,21h,7,8,0.7,10,20,NE (49.12775415547351°),ONO (298°)
Spain - Maspalomas,17,03h,8,9,0.6,14,18,NE (35.27714846464713°),N (352°)
Spain - Maspalomas,17,05h,8,10,0.6,14,18,NE (45.706467746218095°),N (354°)
Spain - Maspalomas,17,07h,9,10,0.6,14,18,NE (48.19808222720143°),N (355°)
Spain - Maspalomas,17,09h,8,9,0.6,14,19,NE (50.52845492280317°),N (356°)
Spain - Maspalomas,17,11h,10,11,0.6,13,20,ENE (76.50150001759538°),N (358°)
Spain - Maspalomas,17,13h,10,11,0.6,14,20,E (92.49431905803708°),N (357°)
Spain - Maspalomas,17,15h,9,10,0.6,14,20,E (95.77200387109134°),N (357°)
Spain - Maspalomas,17,17h,10,11,0.6,13,20,E (88.9719743338011°),N (356°)
Spain - Maspalomas,17,19h,10,11,0.6,13,20,ENE (70.15742150073862°),N (355°)
Spain - Maspalomas,17,21h,9,10,0.6,13,19,ENE (57.626801727291586°),N (356°)
Spain - Maspalomas,18,03h,9,10,0.6,12,19,ENE (63.541897420515305°),N (355°)
Spain - Maspalomas,18,05h,10,11,0.6,12,19,ENE (68.16889771214332°),N (352°)
Spain - Maspalomas,18,09h,9,9,0.7,12,19,ENE (77.97031270295835°),N (350°)
Spain - Maspalomas,18,12h,9,9,0.6,12,21,ESE (106.43443380562911°),NNO (344°)
Spain - Maspalomas,18,15h,9,9,0.6,12,21,ESE (113.41180464400797°),NNO (341°)
Spain - Maspalomas,18,18h,7,9,0.6,15,20,E (98.5292262684441°),NNO (341°)
Spain - Maspalomas,18,21h,6,7,0.6,18,19,ENE (67.97961210513206°),ONO (291°)
Spain - Maspalomas,19,03h,4,5,0.6,17,20,NE (39.52997099385658°),ONO (291°)
Spain - Maspalomas,19,06h,5,5,0.7,16,20,NE (38.33681839173187°),ONO (291°)
Spain - Maspalomas,19,09h,4,5,0.7,16,20,NE (39.86412501891359°),ONO (290°)
Spain - Maspalomas,19,12h,3,4,0.7,15,22,SSE (166.07548217627703°),ONO (290°)
Spain - Maspalomas,19,15h,4,7,0.7,15,22,OSO (236.92363772694583°),ONO (290°)
Spain - Maspalomas,19,18h,5,7,0.7,15,22,O (273.0242880540378°),ONO (290°)
Spain - Maspalomas,19,21h,5,6,0.7,14,21,NO (314.94200263551073°),ONO (290°)
